lower,actualEffect,upper,posterior_prob,article_names,significance,positive
-1211.474637,932,949.0401033,0.444,anthropocene,0,1
-71.0503456,407.5,102.2095541,0.330977621,biodiversityloss,0,1
-105.7887811,403,72.88396469,0.370588235,biodiversityloss,0,1
-134.033885,339,38.85413258,0.155294118,biodiversityloss,0,1
-122.8856433,121,140.9785957,0.456852792,captivebreeding,0,1
-99.85074413,295.5,72.32731787,0.368345324,carbondioxideremoval,0,1
-1626.628134,5047.5,773.875479,0.264578834,climatechange,0,1
-3567.540475,1935.5,-1079.59951,0.002152853,climatechange,1,1
-1416.405474,1414.5,1124.330972,0.384284177,climatechange,0,1
-1554.802934,1325.5,985.0054079,0.291711518,climatechange,0,1
-60.5243006,164,26.8537963,0.260920897,conservation,0,1
-24.03888664,195.5,66.82639658,0.159386068,conservation,0,1
26.1534703,239.5,108.371488,0.001179245,conservation,1,1
-52.29787246,194.5,55.92443379,0.451650943,conservation,0,1
-90.32474032,143.5,12.84166128,0.069575472,conservation,0,1
-3.669681197,24,10.56035029,0.173553719,dams,0,1
-197.9003137,2609.5,811.6975885,0.122222222,deforestation,0,1
-558.3390719,2378.5,428.1796108,0.372839506,deforestation,0,1
-245.4087044,2599.5,687.942624,0.174528302,deforestation,0,1
-678.35922,2265.5,269.6005055,0.233766234,deforestation,0,1
-39.17719333,30.5,22.43457604,0.304213772,ecosystemhealth,0,1
-601.4665628,1440.5,-11.01324714,0.022346369,endangeredspecies,1,1
-236.6099267,1772,398.5630901,0.310055866,endangeredspecies,0,1
-258.6090822,1810,362.032855,0.354046243,endangeredspecies,0,1
-216.1637692,1950,386.4601052,0.254166667,endangeredspecies,0,1
-219.008698,1969,348.5156072,0.369863014,endangeredspecies,0,1
-380.6758937,1691.5,211.6058014,0.294372294,endangeredspecies,0,1
-16.55557296,367.5,199.9361673,0.05800464,energydevelopment,0,1
-191.0633937,2178.5,855.9710125,0.117,extinction,0,1
-801.8079856,1631.5,321.1562955,0.23,extinction,0,1
-622.3332274,1745,457.1158271,0.380761523,extinction,0,1
-381.4401082,2012,702.6850758,0.279141104,extinction,0,1
-21.90493378,2400.5,1099.630314,0.029145729,extinction,1,1
-701.5484425,1721,480.3317386,0.313636364,extinction,0,1
-54.6756921,82.5,53.09876331,0.455837563,flooding,0,1
-16.33448662,69,32.4220252,0.219469027,globalchange,0,1
-106.6434117,576.5,355.4419028,0.147058824,habitatdestruction,0,1
-141.2381168,540.5,326.5840065,0.222877358,habitatdestruction,0,1
-199.5203967,503,253.4372367,0.426383981,habitatdestruction,0,1
-156.4734477,530,301.4609273,0.335820896,habitatdestruction,0,1
-220.6317726,246.5,262.655673,0.437435367,habitatfragmentation,0,1
-186.6511137,1567,343.2235587,0.331367925,humanoverpopulation,0,1
-228.9410655,1613.5,329.585803,0.376865672,humanoverpopulation,0,1
-271.6154131,1503.5,278.3745367,0.473880597,humanoverpopulation,0,1
-3.483860368,8.5,5.360419159,0.312636166,humanwildlifeconflict,0,1
-7.714692984,4.5,0.933815299,0.063492063,humanwildlifeconflict,0,1
-1.304781278,11,7.460664868,0.08994709,humanwildlifeconflict,0,1
2.232844821,14.5,10.97329916,0.004232804,humanwildlifeconflict,1,1
-5.396882591,7,3.189023799,0.309241706,humanwildlifeconflict,0,1
94.66230695,1146.5,490.7947194,0.002475248,hunting,1,1
-162.0549749,936.5,238.9429658,0.365566038,hunting,0,1
-67.53014645,111,38.78461857,0.311291963,icecalving,0,1
-576.6805145,360,451.2957191,0.385641026,introducedspecies,0,1
-616.2742446,994,112.859839,0.104829211,invasivespecies,0,1
-41.30444025,285.5,124.703503,0.148261759,ivorytrade,0,1
-39.69725542,119,23.26717182,0.311143271,landdevelopment,0,1
-11.78722912,155,53.95298672,0.111111111,landdevelopment,0,1
-191.2222367,415,405.7695456,0.257,livestockguardiandog,0,1
-8.81737408,16,7.694330986,0.458883249,natureconservation,0,1
-10.90729146,14,5.737131483,0.252941176,natureconservation,0,1
-0.499158881,24.5,16.447993,0.038,natureconservation,1,1
-171.8231369,274,177.4575199,0.481,overexploitation,0,1
-95.27346027,411,176.4817247,0.281444583,overfishing,0,1
-72.63110494,332,63.45290226,0.472049689,overpopulation,0,1
-251.6002721,2194.5,601.5078413,0.210893855,palmoil,0,1
-216.1330201,568,150.4310839,0.373584906,poaching,0,1
-180.6305794,636,195.8703313,0.475235849,poaching,0,1
-33.44298708,335,107.7774021,0.138442522,protectedarea,0,1
-489.3238811,1045.5,351.3645722,0.355371901,sealevelrise,0,1
-637.8396595,1597,541.3209277,0.477031802,sustainability,0,1
-605.2957021,3886,658.9344391,0.462365591,sustainabledevelopment,0,1
-13.21040376,98,72.99282188,0.09689441,sustainablefishery,0,1
-138.5104838,587.5,86.33608212,0.321789322,traditionalmedicine,0,1
-314.3676093,1193.5,279.5307004,0.434117647,trafficcollision,0,1
-178.5568402,1321.5,264.8792049,0.39543058,urbanization,0,1
-246.6546516,1397.5,233.901563,0.5,urbanization,0,1
-171.7208553,1418,293.4741925,0.311688312,urbanization,0,1
-112.2421801,1502.5,327.19664,0.169611307,urbanization,0,1
59.69179046,1126,886.3560811,0.010787487,whaling,1,1
-839.2568532,623,466.9534425,0.274,whaling,0,1
-43.31278754,49.5,19.90398518,0.226455026,wildlifesmuggling,0,1
-135.2194624,77.5,123.5405304,0.433,wildlifetrade,0,1
